Gender;Age;Smoker_Status;Name;Company;TotalScore;WholeLifeScore;TermsScore;PremiumTerm_Years;AnnualPremium;Number_of_Covered_Major_Illnesses;Number_of_Covered_Early_Illnesses;Maximum_Payout;Waiting_Period;Issue_Age
Male;35;Non Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 4,564;60;44;900.0%;90 Days;Age 0 to Age 60
Male;35;Non Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 4,329;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;35;Non Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 4,617;89;76;500.0%;60 Days;Age 0 to Age 50
Male;35;Non Smoker;Health Critical Illness Extended Care III;Prudential | 保誠保險;9.0 / 10;8.8 / 10;9.2 / 10;25;USD 4,787;56;61;860.0%;90 Days;Age 0 to Age 49
Male;35;Non Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 5,584;93;101;800.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 4,348;60;44;680.0%;90 Days;Age 0 to Age 60
Male;35;Non Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 3,758;71;117;500.0%;60 Days;Age 0 to Age 50
Male;35;Non Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 4,119;71;127;700.0%;60 Days;Age 0 to Age 50
Male;35;Non Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 4,112;58;44;900.0%;90 Days;Age 0 to Age 55
Male;35;Non Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 3,875;60;63;500.0%;90 Days;Age 0 to Age 60
Male;35;Non Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 4,038;69;83;500.0%;60 Days;Age 0 to Age 50
Male;35;Non Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 5,058;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 5,332;60;30;700.0%;90 Days;Age 0 to Age 60
Male;35;Non Smoker;PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 4,800;56;71;900.0%;90 Days;Age 0 to Age 49
Male;35;Non Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 4,227;64;62;950.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 4,008;65;56;500.0%;60 Days;Age 0 to Age 55
Male;35;Non Smoker;Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;8.4 / 10;8.8 / 10;7.9 / 10;25;USD 4,339;88;88;420.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 4,036;60;44;500.0%;90 Days;Age 0 to Age 60
Male;35;Non Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 4,185;63;62;900.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;25;USD 5,541;62;54;900.0%;60 Days;Age 0 to Age 50
Male;35;Non Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 4,842;58;44;900.0%;90 Days;Age 0 to Age 55
Male;35;Non Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;25;USD 5,381;62;54;500.0%;60 Days;Age 0 to Age 50
Male;35;Non Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 4,853;62;45;500.0%;60 Days;Age 0 to Age 45
Male;35;Non Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 3,953;53;3;500.0%;90 Days;Age 0 to Age 55
Male;35;Non Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 4,760;55;39;600.0%;90 Days;Age 0 to Age 55
Male;35;Non Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 4,365;55;39;420.0%;90 Days;Age 0 to Age 55
Male;0;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 2,720;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;0;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 2,787;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;0;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 2,763;93;101;900.0%;90 Days;Age 0 to Age 50
Male;0;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 1,665;71;117;700.0%;60 Days;Age 0 to Age 50
Male;0;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 2,295;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;0;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 1,514;69;69;Not specified;60 Days;Age 0 to Age 55
Male;0;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 1,514;69;69;720.0%;60 Days;Age 0 to Age 55
Male;0;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 2,174;62;65;1152.0%;90 Days;Age 0 to Age 55
Male;0;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 1,992;62;65;1121.0%;90 Days;Age 0 to Age 55
Male;0;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 1,904;68;50;740.0%;60 Days;Age 0 to Age 55
Male;0;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 1,726;60;44;900.0%;90 Days;Age 0 to Age 60
Male;0;Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 1,775;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;0;Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 0;89;76;500.0%;60 Days;Age 0 to Age 50
Male;0;Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 2,145;93;101;800.0%;90 Days;Age 0 to Age 50
Male;0;Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 1,793;60;44;680.0%;90 Days;Age 0 to Age 60
Male;0;Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 1,500;71;117;500.0%;60 Days;Age 0 to Age 50
Male;0;Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 1,671;71;127;700.0%;60 Days;Age 0 to Age 50
Male;0;Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 1,602;58;44;900.0%;90 Days;Age 0 to Age 55
Male;0;Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 1,504;60;63;500.0%;90 Days;Age 0 to Age 60
Male;0;Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 1,671;69;83;500.0%;60 Days;Age 0 to Age 50
Male;0;Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 2,041;60;30;700.0%;90 Days;Age 0 to Age 60
Male;0;Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 2,061;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;0;Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 1,916;64;62;950.0%;90 Days;Age 0 to Age 50
Male;0;Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 1,465;65;56;500.0%;60 Days;Age 0 to Age 55
Male;0;Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 1,667;60;44;500.0%;90 Days;Age 0 to Age 60
Male;0;Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 1,742;63;62;900.0%;90 Days;Age 0 to Age 50
Male;0;Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;20;USD 0;62;54;900.0%;60 Days;Age 0 to Age 50
Male;0;Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 2,123;58;44;900.0%;90 Days;Age 0 to Age 55
Male;0;Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;20;USD 0;62;54;500.0%;60 Days;Age 0 to Age 50
Male;0;Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 2,096;62;45;500.0%;60 Days;Age 0 to Age 45
Male;0;Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 1,394;53;3;500.0%;90 Days;Age 0 to Age 55
Male;0;Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 1,868;55;39;600.0%;90 Days;Age 0 to Age 55
Male;0;Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 1,683;55;39;420.0%;90 Days;Age 0 to Age 55
Male;10;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 3,455;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;10;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 3,604;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;10;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 3,402;93;101;900.0%;90 Days;Age 0 to Age 50
Male;10;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 2,168;71;117;700.0%;60 Days;Age 0 to Age 50
Male;10;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 2,885;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;10;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 1,871;69;69;Not specified;60 Days;Age 0 to Age 55
Male;10;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 1,919;69;69;720.0%;60 Days;Age 0 to Age 55
Male;10;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 2,766;62;65;1152.0%;90 Days;Age 0 to Age 55
Male;10;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 2,531;62;65;1121.0%;90 Days;Age 0 to Age 55
Male;10;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 2,171;68;50;740.0%;60 Days;Age 0 to Age 55
Male;10;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 2,224;60;44;900.0%;90 Days;Age 0 to Age 60
Male;10;Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 2,223;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;10;Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 0;89;76;500.0%;60 Days;Age 0 to Age 50
Male;10;Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 2,719;93;101;800.0%;90 Days;Age 0 to Age 50
Male;10;Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 2,294;60;44;680.0%;90 Days;Age 0 to Age 60
Male;10;Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 1,904;71;117;500.0%;60 Days;Age 0 to Age 50
Male;10;Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 2,185;71;127;700.0%;60 Days;Age 0 to Age 50
Male;10;Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 2,043;58;44;900.0%;90 Days;Age 0 to Age 55
Male;10;Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 1,943;60;63;500.0%;90 Days;Age 0 to Age 60
Male;10;Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 2,082;69;83;500.0%;60 Days;Age 0 to Age 50
Male;10;Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 2,498;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;10;Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 2,705;60;30;700.0%;90 Days;Age 0 to Age 60
Male;10;Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 2,286;64;62;950.0%;90 Days;Age 0 to Age 50
Male;10;Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 1,891;65;56;500.0%;60 Days;Age 0 to Age 55
Male;10;Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 2,123;60;44;500.0%;90 Days;Age 0 to Age 60
Male;10;Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 2,078;63;62;900.0%;90 Days;Age 0 to Age 50
Male;10;Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;20;USD 0;62;54;900.0%;60 Days;Age 0 to Age 50
Male;10;Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 2,735;58;44;900.0%;90 Days;Age 0 to Age 55
Male;10;Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;20;USD 0;62;54;500.0%;60 Days;Age 0 to Age 50
Male;10;Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 2,631;62;45;500.0%;60 Days;Age 0 to Age 45
Male;10;Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 1,854;53;3;500.0%;90 Days;Age 0 to Age 55
Male;10;Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 2,340;55;39;600.0%;90 Days;Age 0 to Age 55
Male;10;Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 2,157;55;39;420.0%;90 Days;Age 0 to Age 55
Male;18;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 4,404;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 4,656;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 5,356;93;101;900.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 3,180;71;117;700.0%;60 Days;Age 0 to Age 50
Male;18;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 3,989;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;18;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 3,119;69;69;Not specified;60 Days;Age 0 to Age 55
Male;18;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 2,532;69;69;720.0%;60 Days;Age 0 to Age 55
Male;18;Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 3,489;62;65;1152.0%;90 Days;Age 0 to Age 55
Male;18;Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 3,183;62;65;1121.0%;90 Days;Age 0 to Age 55
Male;18;Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 2,915;68;50;740.0%;60 Days;Age 0 to Age 55
Male;18;Smoker;ManuPrimo Care;Manulife | 宏利;9.1 / 10;8.8 / 10;9.6 / 10;25;USD 3,307;60;44;900.0%;90 Days;Age 0 to Age 60
Male;18;Smoker;TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.1 / 10;9.1 / 10;9 / 10;25;USD 3,038;63;75;1000.0%;60 Days;Age 0 to Age 60
Male;18;Smoker;Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.8 / 10;9.2 / 10;8.3 / 10;25;USD 3,458;89;76;500.0%;60 Days;Age 0 to Age 50
Male;18;Smoker;TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.9 / 10;8.8 / 10;9.1 / 10;25;USD 4,008;93;101;800.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;ManuBright Care 2 Plus;Manulife | 宏利;8.8 / 10;8.8 / 10;8.6 / 10;25;USD 3,226;60;44;680.0%;90 Days;Age 0 to Age 60
Male;18;Smoker;SunWell Advanced Care;Sun Life | Sun Life 永明;8.6 / 10;8.7 / 10;7.8 / 10;25;USD 2,682;71;117;500.0%;60 Days;Age 0 to Age 50
Male;18;Smoker;FamCare 198;CTF Life | 周大福人壽;8.7 / 10;9.4 / 10;7.6 / 10;25;USD 3,378;71;127;700.0%;60 Days;Age 0 to Age 50
Male;18;Smoker;On Your SIde Plan;AIA | 友邦香港;8.7 / 10;9.1 / 10;8.2 / 10;25;USD 2,769;58;44;900.0%;90 Days;Age 0 to Age 55
Male;18;Smoker;Manulife Bright Care PRO;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 2,789;60;63;500.0%;90 Days;Age 0 to Age 60
Male;18;Smoker;HealthCare 168 Plus;CTF Life | 周大福人壽;8.6 / 10;8.8 / 10;8.3 / 10;25;USD 3,171;69;83;500.0%;60 Days;Age 0 to Age 50
Male;18;Smoker;SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.6 / 10;9 / 10;8 / 10;25;USD 3,437;63;62;1100.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;ManuLove Care;Manulife | 宏利;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 3,941;60;30;700.0%;90 Days;Age 0 to Age 60
Male;18;Smoker;PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.6 / 10;8.8 / 10;8.2 / 10;25;USD 3,363;56;71;900.0%;90 Days;Age 0 to Age 49
Male;18;Smoker;SunHealth LovePromise;Sun Life | Sun Life 永明;8.5 / 10;8.9 / 10;7.9 / 10;25;USD 3,074;64;62;950.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.4 / 10;8.6 / 10;8.1 / 10;25;USD 2,601;65;56;500.0%;60 Days;Age 0 to Age 55
Male;18;Smoker;Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;8.4 / 10;8.8 / 10;7.9 / 10;25;USD 2,881;88;88;420.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;ManuBright Care 2;Manulife | 宏利;8.2 / 10;8.8 / 10;7.2 / 10;25;USD 2,965;60;44;500.0%;90 Days;Age 0 to Age 60
Male;18;Smoker;SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.2 / 10;9 / 10;7 / 10;25;USD 2,825;63;62;900.0%;90 Days;Age 0 to Age 50
Male;18;Smoker;AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.0 / 10;8.4 / 10;7.4 / 10;25;USD 3,668;62;54;900.0%;60 Days;Age 0 to Age 50
Male;18;Smoker;Smart Elite Ultra;AIA | 友邦香港;7.8 / 10;8.3 / 10;7 / 10;25;USD 3,848;58;44;900.0%;90 Days;Age 0 to Age 55
Male;18;Smoker;AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.6 / 10;8.4 / 10;6.4 / 10;25;USD 3,561;62;54;500.0%;60 Days;Age 0 to Age 50
Male;18;Smoker;Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3 / 10;8.3 / 10;5.8 / 10;20;USD 3,963;62;45;500.0%;60 Days;Age 0 to Age 45
Male;18;Smoker;Multi Care Pro 2;AIA | 友邦香港;7.4 / 10;7.8 / 10;6.9 / 10;25;USD 2,682;53;3;500.0%;90 Days;Age 0 to Age 55
Male;18;Smoker;BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;7.3 / 10;7.9 / 10;6.4 / 10;20;USD 2,780;55;39;600.0%;90 Days;Age 0 to Age 55
Male;18;Smoker;Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;7.0 / 10;8.4 / 10;4.9 / 10;20;USD 2,949;55;39;420.0%;90 Days;Age 0 to Age 55
Male;25;Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 5,490;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 5,870;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 6,597;93;101;900.0%;90 Days;Age 0 to Age 50
Male;25;Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 3,960;71;117;700.0%;60 Days;Age 0 to Age 50
Male;25;Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 4,976;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;25;Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 3,794;69;69;Not specified;60 Days;Age 0 to Age 55
Male;25;Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 3,890;69;69;720.0%;60 Days;Age 0 to Age 55
