InsuranceName;Company;Average;WholeLifeScore;TermsScore;Gender;Age;Smoker;PriceYear
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;35;Non Smoker;3,240
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;35;Non Smoker;3,938
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;35;Non Smoker;2,948
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;35;Non Smoker;3,316
PRUHealth Critical Illness First Protect II;Prudential | 保誠保險;5.3;5.6 / 10;2.8 / 10;Male;35;Non Smoker;3,122
Health Select 2;AXA Hong Kong and Macau | AXA 安盛;5.3;5.6 / 10;2.3 / 10;Male;35;Non Smoker;3,290
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;35;Non Smoker;2,525
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;35;Non Smoker;3,355
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;35;Non Smoker;2,517
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;35;Non Smoker;3,018
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Male;35;Non Smoker;3,693
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;35;Non Smoker;3,837
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;35;Non Smoker;3,302
EasyWell Critical Illness Protector;Prudential | 保誠保險;4.6;4.9 / 10;1.8 / 10;Male;35;Non Smoker;2,339
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;0;Smoker;1,665
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;0;Smoker;1,514
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;0;Smoker;1,514
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;0;Smoker;2,720
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;0;Smoker;2,787
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;0;Smoker;1,992
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;0;Smoker;2,174
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;0;Smoker;2,295
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;0;Smoker;2,061
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;0;Smoker;1,671
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;0;Smoker;2,763
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;0;Smoker;1,500
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;0;Smoker;1,726
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;0;Smoker;1,671
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;0;Smoker;1,742
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;0;Smoker;1,904
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;0;Smoker;1,465
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;0;Smoker;2,145
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;0;Smoker;1,916
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;0;Smoker;1,793
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;0;Smoker;1,775
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;0;Smoker;1,504
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;0;Smoker;2,041
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;0;Smoker;1,667
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;0;Smoker;1,602
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;0;Smoker;2,123
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;0;Smoker;2,096
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;0;Smoker;1,394
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;0;Smoker;1,683
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;0;Smoker;1,868
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;0;Smoker;1,466
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;0;Smoker;1,974
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;0;Smoker;1,232
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;0;Smoker;1,713
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;0;Smoker;799
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;0;Smoker;1,459
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;0;Smoker;1,050
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;0;Smoker;993
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;0;Smoker;1,497
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;0;Smoker;1,262
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;10;Smoker;2,168
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;10;Smoker;1,871
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;10;Smoker;1,919
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;10;Smoker;3,455
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;10;Smoker;3,604
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;10;Smoker;2,531
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;10;Smoker;2,766
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;10;Smoker;2,885
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;10;Smoker;2,498
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;10;Smoker;2,082
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;10;Smoker;3,402
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;10;Smoker;1,904
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;10;Smoker;2,224
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;10;Smoker;2,185
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;10;Smoker;2,078
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;10;Smoker;2,171
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;10;Smoker;1,891
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;10;Smoker;2,719
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;10;Smoker;2,286
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;10;Smoker;2,294
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;10;Smoker;2,223
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;10;Smoker;1,943
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;10;Smoker;2,705
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;10;Smoker;2,123
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;10;Smoker;2,043
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;10;Smoker;2,735
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;10;Smoker;2,631
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;10;Smoker;1,854
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;10;Smoker;2,157
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;10;Smoker;2,340
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;10;Smoker;1,698
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;10;Smoker;2,354
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;10;Smoker;1,619
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;10;Smoker;1,866
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;10;Smoker;1,078
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;10;Smoker;1,695
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;10;Smoker;1,257
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;10;Smoker;1,325
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;10;Smoker;1,881
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;10;Smoker;1,590
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;18;Smoker;3,180
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;18;Smoker;3,119
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;18;Smoker;2,532
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;18;Smoker;4,404
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;18;Smoker;4,656
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;18;Smoker;3,183
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;18;Smoker;3,489
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;18;Smoker;3,989
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;18;Smoker;3,437
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Male;18;Smoker;3,458
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;18;Smoker;3,171
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;18;Smoker;5,356
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;18;Smoker;2,682
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;18;Smoker;3,307
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;18;Smoker;3,378
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;18;Smoker;2,825
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;18;Smoker;2,915
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;18;Smoker;2,601
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;18;Smoker;4,008
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;18;Smoker;3,074
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;18;Smoker;3,226
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;18;Smoker;3,038
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Male;18;Smoker;3,363
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;18;Smoker;2,789
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;18;Smoker;3,941
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;18;Smoker;2,965
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;18;Smoker;2,769
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Male;18;Smoker;3,668
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Male;18;Smoker;2,881
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;18;Smoker;3,848
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;18;Smoker;3,963
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Male;18;Smoker;3,561
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;18;Smoker;2,682
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;18;Smoker;2,949
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;18;Smoker;2,780
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;18;Smoker;2,231
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;18;Smoker;2,933
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;18;Smoker;2,219
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;18;Smoker;2,274
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;18;Smoker;1,586
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;18;Smoker;2,383
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;18;Smoker;1,707
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;18;Smoker;1,907
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Male;18;Smoker;2,940
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;18;Smoker;2,780
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;18;Smoker;2,169
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;25;Smoker;3,960
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;25;Smoker;3,794
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;25;Smoker;3,890
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;25;Smoker;5,490
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;25;Smoker;5,870
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;25;Smoker;3,786
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;25;Smoker;4,133
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;25;Smoker;4,976
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;25;Smoker;4,436
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Male;25;Smoker;4,163
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;25;Smoker;3,952
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;25;Smoker;6,597
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;25;Smoker;3,290
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;25;Smoker;4,106
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;25;Smoker;4,227
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;25;Smoker;3,641
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;25;Smoker;3,659
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;25;Smoker;3,459
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;25;Smoker;4,974
Health Critical Illness Extended Care III;Prudential | 保誠保險;8.6;8.9 / 10;6.3 / 10;Male;25;Smoker;4,091
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;25;Smoker;3,860
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;25;Smoker;3,986
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;25;Smoker;3,833
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Male;25;Smoker;4,134
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;25;Smoker;3,407
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;25;Smoker;5,042
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;25;Smoker;3,662
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;25;Smoker;3,521
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Male;25;Smoker;3,763
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Male;25;Smoker;3,540
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;25;Smoker;4,817
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;25;Smoker;4,760
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Male;25;Smoker;3,656
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;25;Smoker;3,624
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;25;Smoker;3,755
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;25;Smoker;4,446
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Male;25;Smoker;2,814
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Male;25;Smoker;3,624
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Male;25;Smoker;2,732
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Male;25;Smoker;2,896
PRUHealth Critical Illness First Protect II;Prudential | 保誠保險;5.3;5.6 / 10;2.8 / 10;Male;25;Smoker;2,850
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Male;25;Smoker;2,119
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Male;25;Smoker;2,935
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Male;25;Smoker;2,133
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Male;25;Smoker;2,484
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Male;25;Smoker;3,601
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Male;25;Smoker;3,315
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Male;25;Smoker;2,757
EasyWell Critical Illness Protector;Prudential | 保誠保險;4.6;4.9 / 10;1.8 / 10;Male;25;Smoker;1,873
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;30;Smoker;4,815
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;30;Smoker;4,404
